fiscal_year,invoice_date,invoice_number,invoice_amount,payee,payment_date,payment_number,agency,expenditure_type,expenditure_category,spend_category,cost_center,project,program,grant_,fund,financing_source,region,extended_amount,ObjectId
2022,11/15/2021,2383096,973.12,GALLS PARENT HOLDINGS LLC,9/21/2022,1227497,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,973.12,29
2022,12/29/2021,2400888,524.6,GALLS PARENT HOLDINGS LLC,9/21/2022,1227497,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,524.6,30
2022,2/9/2022,2414084,1103.76,GALLS PARENT HOLDINGS LLC,9/21/2022,1227497,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,1103.76,66
2022,6/23/2022,2486762,247.26,UNIFIRST CORPORATION,9/7/2022,1225337,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,247.26,239
2022,4/14/2022,2452986,40.5,FARLEY PRINTING COMPANY INC,9/1/2022,1225024,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Printing/Copying                            ,,,,,General Fund,,,40.5,289
2022,4/19/2022,2452804,35,FARLEY PRINTING COMPANY INC,9/1/2022,1225024,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Printing/Copying                            ,,,,,General Fund,,,35,307
2022,6/1/2022,2475084,510.2,GALLS PARENT HOLDINGS LLC,8/31/2022,1224286,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Law Enforcement Equipment,,,,,Pass Thru Federal Other,,,510.2,347
2022,3/31/2022,2468350,75.5,FARLEY PRINTING COMPANY INC,8/24/2022,1223465,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Printing/Copying                            ,,,,,General Fund,,,75.5,409
2022,6/30/2022,2485779,1489.2,VOIANCE LANGUAGE SERVICES LLC,8/1/2022,1220862,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Language Services,,,,,General Fund,,,1489.2,913
2022,7/6/2022,2485787,2960,G-FIT INC,8/1/2022,1220728,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,2960,920
2022,5/30/2022,2475077,62.09,OFFICE DEPOT INC,8/1/2022,1220792,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,62.09,927
2022,6/10/2022,2475395,449.26,OFFICE DEPOT INC,8/1/2022,1220793,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,449.26,1408
2022,6/25/2022,2482538,1080,LOUISVILLE TKO INC,7/27/2022,1220061,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,1080,1601
2022,6/11/2022,2482527,480,LAURA A PARRISH,7/27/2022,1220049,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,480,1602
2022,6/1/2022,2482530,807.43,THOMSON REUTERS SCIENTIFIC INC,7/27/2022,1220127,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,807.43,1603
2022,6/4/2022,2482528,216.56,THOMSON REUTERS SCIENTIFIC INC,7/27/2022,1220127,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,216.56,1604
2022,6/28/2022,2481961,16.25,BEST STAMP & SEAL CO INC,8/1/2022,1220560,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,1.13,1605
2022,7/7/2022,2482624,1012,DERBY CITY APPRAISALS,7/27/2022,1220181,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,385,1606
2022,7/7/2022,2482624,1012,DERBY CITY APPRAISALS,7/27/2022,1220181,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,627,1607
