payee,extended_amount
PAUL MILLER FORD INC DBA PAUL MILLER FORD MAZDA,3984835.0
KIESLER POLICE SUPPLY INC,575212.58
BACHMAN AUTO GROUP INC,529687.12
DNA LABS INTERNATIONAL,492520.0
L & W EMERGENCY EQUIPMENT,467146.87
NORSE TACTICAL LLC,465000.0
GALLS PARENT HOLDINGS LLC,421302.72000000003
ZENCITY TECHNOLOGIES US INC,392000.0
THE STATE GROUP INDUSTRIAL (USA) LIMITED,370183.0
AT&T SERVICES INC,346300.31
PROTEAM TACTICAL PERFORMANCE LLC,299973.0
DJ LEASING LLC,276503.3
PC NET INC,270570.0
POLICEMEN'S RETIREMENT FUND,244798.53999999998
AXON ENTERPRISE INC,237155.8
